filename,dP_L,v,mu,rho,D,eps,f,Re,eps_rel,f_true,branch
moody_eps1.00e-06_Re3.00e+02,0.009598164278583609,0.003011337087675183,0.001,1000.0,0.1,1e-07,0.21168955434741638,301.13370876751827,1e-06,0.2125301755885768,laminar
moody_eps1.00e-06_Re3.41e+02,0.011162682543760976,0.0034773777375531533,0.001,1000.0,0.1,1e-07,0.18462683757506373,347.73777375531535,1e-06,0.18404672954809162,laminar
moody_eps1.00e-06_Re3.88e+02,0.012347429511249524,0.003816940720364491,0.001,1000.0,0.1,1e-07,0.16950234894115054,381.6940720364491,1e-06,0.16767354981056257,laminar
moody_eps1.00e-06_Re4.41e+02,0.015099416222872425,0.004586388263532139,0.001,1000.0,0.1,1e-07,0.14356498094814557,458.6388263532139,1e-06,0.13954335377334876,laminar
moody_eps1.00e-06_Re5.01e+02,0.015127321333791868,0.004910198177855574,0.001,1000.0,0.1,1e-07,0.12548562737958013,491.0198177855574,1e-06,0.13034097134537787,laminar
moody_eps1.00e-06_Re5.70e+02,0.017931738321009562,0.005596725217783145,0.001,1000.0,0.1,1e-07,0.11449444557822053,559.6725217783145,1e-06,0.11435258568107853,laminar
moody_eps1.00e-06_Re6.48e+02,0.019224192896747472,0.006047122098434594,0.001,1000.0,0.1,1e-07,0.1051430657573395,604.7122098434594,1e-06,0.10583546843971871,laminar
moody_eps1.00e-06_Re7.37e+02,0.02223332689152331,0.0071022354411069055,0.001,1000.0,0.1,1e-07,0.08815446592580099,710.2235441106906,1e-06,0.09011247308076484,laminar
moody_eps1.00e-06_Re8.38e+02,0.026142816973977995,0.008247520932472031,0.001,1000.0,0.1,1e-07,0.07686622009876332,824.7520932472032,1e-06,0.07759907555738359,laminar
moody_eps1.00e-06_Re9.53e+02,0.031863752437248045,0.00965081980476753,0.001,1000.0,0.1,1e-07,0.06842243116200178,965.081980476753,1e-06,0.06631560975616169,laminar
moody_eps1.00e-06_Re1.08e+03,0.03599701943004775,0.01079724951865491,0.001,1000.0,0.1,1e-07,0.061754735015029726,1079.724951865491,1e-06,0.059274354908094164,laminar
moody_eps1.00e-06_Re1.23e+03,0.03906946661583867,0.012081135000064532,0.001,1000.0,0.1,1e-07,0.053536749969669034,1208.113500006453,1e-06,0.05297515506585942,laminar
moody_eps1.00e-06_Re1.40e+03,0.04620693002206355,0.01439899782361539,0.001,1000.0,0.1,1e-07,0.04457307319631655,1439.8997823615389,1e-06,0.04444753779671764,laminar
moody_eps1.00e-06_Re1.59e+03,0.04850670772735843,0.015583350108064048,0.001,1000.0,0.1,1e-07,0.03994938874308428,1558.3350108064049,1e-06,0.041069474507205855,laminar
moody_eps1.00e-06_Re1.81e+03,0.05756912660775983,0.017871902093426387,0.001,1000.0,0.1,1e-07,0.036047743420850244,1787.1902093426388,1e-06,0.035810402085595786,laminar
moody_eps1.00e-06_Re2.06e+03,0.06356112579283456,0.019987888422401682,0.001,1000.0,0.1,1e-07,0.031819089164289105,1998.788842240168,1e-06,0.032019390266493176,laminar
moody_eps1.00e-06_Re4.45e+03,0.38648580693937823,0.04431660394333861,0.001,1000.0,0.1,1e-07,0.03935778064449656,4431.660394333861,1e-06,0.03872433899646348,colebrook
moody_eps1.00e-06_Re5.06e+03,0.4880652935687917,0.05095941112270443,0.001,1000.0,0.1,1e-07,0.03758885702317741,5095.941112270443,1e-06,0.03719024402295085,colebrook
moody_eps1.00e-06_Re5.76e+03,0.5733524694214198,0.056454123870457174,0.001,1000.0,0.1,1e-07,0.03597993209276279,5645.412387045718,1e-06,0.03612010914114886,colebrook
moody_eps1.00e-06_Re6.55e+03,0.8085555644003137,0.06702166877729482,0.001,1000.0,0.1,1e-07,0.03600057120433804,6702.166877729482,1e-06,0.03442323838515282,colebrook
moody_eps1.00e-06_Re7.44e+03,0.9083437054741759,0.07167759881973286,0.001,1000.0,0.1,1e-07,0.03536008581950988,7167.759881973286,1e-06,0.03379003550724218,colebrook
moody_eps1.00e-06_Re8.46e+03,1.2698476915155457,0.08812709342655371,0.001,1000.0,0.1,1e-07,0.03270112819806069,8812.709342655371,1e-06,0.031943548538505964,colebrook
moody_eps1.00e-06_Re9.62e+03,1.4512205834728986,0.09700775658627309,0.001,1000.0,0.1,1e-07,0.03084256601469422,9700.77565862731,1e-06,0.03113440362891102,colebrook
moody_eps1.00e-06_Re1.09e+04,2.066607921554464,0.11432570196189606,0.001,1000.0,0.1,1e-07,0.03162280078683433,11432.570196189607,1e-06,0.029816760097703936,colebrook
moody_eps1.00e-06_Re1.24e+04,2.5809860827962727,0.13134314855698642,0.001,1000.0,0.1,1e-07,0.029922702343396647,13134.314855698642,1e-06,0.028765143386238597,colebrook
moody_eps1.00e-06_Re1.41e+04,2.7758819847721705,0.1430135294235785,0.001,1000.0,0.1,1e-07,0.027144181127698522,14301.352942357851,1e-06,0.028146197323812454,colebrook
moody_eps1.00e-06_Re1.61e+04,3.605267098918932,0.16086053039178258,0.001,1000.0,0.1,1e-07,0.027865603182002468,16086.053039178258,1e-06,0.027322179802615004,colebrook
moody_eps1.00e-06_Re1.83e+04,4.186905618128051,0.17599824381233004,0.001,1000.0,0.1,1e-07,0.027033762758950322,17599.824381233004,1e-06,0.026715205443233102,colebrook
moody_eps1.00e-06_Re2.08e+04,5.793178942456889,0.21070821081619276,0.001,1000.0,0.1,1e-07,0.02609660549060959,21070.821081619273,1e-06,0.02555732494888447,colebrook
moody_eps1.00e-06_Re2.37e+04,6.401867740114571,0.22826525624394162,0.001,1000.0,0.1,1e-07,0.02457293694347348,22826.525624394162,1e-06,0.025065610078348274,colebrook
moody_eps1.00e-06_Re2.69e+04,8.223010341113142,0.26544093708990746,0.001,1000.0,0.1,1e-07,0.023341299344058288,26544.093708990742,1e-06,0.02417498335481333,colebrook
moody_eps1.00e-06_Re3.06e+04,11.810507605206894,0.3221830841770876,0.001,1000.0,0.1,1e-07,0.022755851453148544,32218.308417708755,1e-06,0.023096928444358185,colebrook
moody_eps1.00e-06_Re3.48e+04,13.851602289678663,0.3511668753397544,0.001,1000.0,0.1,1e-07,0.022464818935691515,35116.68753397543,1e-06,0.02263976014583744,colebrook
moody_eps1.00e-06_Re3.95e+04,19.48985514354214,0.414614906860342,0.001,1000.0,0.1,1e-07,0.022675077602172012,41461.4906860342,1e-06,0.02179445519849201,colebrook
moody_eps1.00e-06_Re4.50e+04,20.93632093920331,0.45819738566897006,0.001,1000.0,0.1,1e-07,0.01994459165272972,45819.73856689701,1e-06,0.02130758916113839,colebrook
moody_eps1.00e-06_Re5.11e+04,27.807340890826968,0.5119944948640469,0.001,1000.0,0.1,1e-07,0.02121577368293051,51199.449486404694,1e-06,0.02078505795356548,colebrook
moody_eps1.00e-06_Re5.81e+04,35.36147305226695,0.5990381997874761,0.001,1000.0,0.1,1e-07,0.019708397299621795,59903.819978747604,1e-06,0.020077143226923312,colebrook
moody_eps1.00e-06_Re6.61e+04,45.48040718248874,0.6980706952162783,0.001,1000.0,0.1,1e-07,0.018666183298650177,69807.06952162783,1e-06,0.019420446145713807,colebrook
moody_eps1.00e-06_Re7.52e+04,53.583013510160285,0.7367640682856975,0.001,1000.0,0.1,1e-07,0.019742414038865383,73676.40682856976,1e-06,0.019196305115641084,colebrook
moody_eps1.00e-06_Re8.55e+04,72.3040983083466,0.8558017196924648,0.001,1000.0,0.1,1e-07,0.01974452091785252,85580.17196924648,1e-06,0.018593354900442737,colebrook
moody_eps1.00e-06_Re9.72e+04,84.70753584903848,0.9771851752901695,0.001,1000.0,0.1,1e-07,0.017741825541236444,97718.51752901694,1e-06,0.018082067470325865,colebrook
