filename,tau,delta_p,dP_L,v,mu,rho,d,phi,f,Re_p,f_ergun,steps,converged,stalled,source
r5_phi0.45_seed0.npy,0.9,1e-06,5.24e-09,1.4e-08,0.133333135,0.99999851,10,0.45853961,265818755.1,1.05e-06,433353181.2,2500,True,False,lbm
r5_phi0.45_seed0.npy,0.9,5e-06,2.62e-08,7.02e-08,0.13333234,0.999992548,10,0.45853961,53163436.93,5.26e-06,86670129.72,2500,True,False,lbm
r5_phi0.45_seed0.npy,0.9,1e-05,5.24e-08,1.4e-07,0.133331346,0.999985095,10,0.45853961,26581522.1,1.05e-05,43334748.24,2500,True,False,lbm
r5_phi0.45_seed0.npy,0.9,3e-05,1.57e-07,4.21e-07,0.133327371,0.999955286,10,0.45853961,8860245.522,3.16e-05,14444493.9,2500,True,False,lbm
r5_phi0.45_seed0.npy,0.9,5e-05,2.62e-07,7.02e-07,0.133323397,0.999925477,10,0.45853961,5315990.198,5.26e-05,8666443.02,2500,True,False,lbm
r5_phi0.45_seed0.npy,0.9,7e-05,3.66e-07,9.83e-07,0.133319422,0.999895668,10,0.45853961,3797023.625,7.37e-05,6190135.498,2500,True,False,lbm
r5_phi0.45_seed0.npy,0.9,0.0001,5.24e-07,1.4e-06,0.133313461,0.999850954,10,0.45853961,2657798.689,0.000105273,4332904.85,2500,True,False,lbm
r5_phi0.45_seed0.npy,0.9,0.0003,1.57e-06,4.21e-06,0.133273715,0.999552862,10,0.45853961,885670.941,0.000315912,1443879.343,2500,True,False,lbm
r5_phi0.45_seed0.npy,1.0,1e-06,5.24e-09,1.2e-08,0.166666418,0.999998508,10,0.45853961,364305164.3,7.19e-07,634149789.5,2500,True,False,lbm
r5_phi0.45_seed0.npy,1.0,5e-06,2.62e-08,5.99e-08,0.166665423,0.999992541,10,0.45853961,72860602.44,3.6e-06,126829212.7,2500,True,False,lbm
r5_phi0.45_seed0.npy,1.0,1e-05,5.24e-08,1.2e-07,0.16666418,0.999985081,10,0.45853961,36430032.26,7.19e-06,63414140.66,2500,True,False,lbm
r5_phi0.45_seed0.npy,1.0,3e-05,1.57e-07,3.6e-07,0.166659207,0.999955243,10,0.45853961,12142985.37,2.16e-05,21137425.87,2500,True,False,lbm
r5_phi0.45_seed0.npy,1.0,5e-05,2.62e-07,5.99e-07,0.166654234,0.999925406,10,0.45853961,7285575.985,3.6e-05,12682082.9,2500,True,False,lbm
r5_phi0.45_seed0.npy,1.0,7e-05,3.66e-07,8.39e-07,0.166649261,0.999895568,10,0.45853961,5203829.097,5.04e-05,9058364.482,2500,True,False,lbm
r5_phi0.45_seed0.npy,1.0,0.0001,5.24e-07,1.2e-06,0.166641802,0.999850812,10,0.45853961,3642518.921,7.19e-05,6340575.658,2500,True,False,lbm
r5_phi0.45_seed0.npy,1.0,0.0003,1.57e-06,3.6e-06,0.166592072,0.999552435,10,0.45853961,1213814.108,0.000215882,2112904.071,2500,True,False,lbm
r5_phi0.45_seed0.npy,1.1,1e-06,5.24e-09,1.06e-08,0.199999701,0.999998507,10,0.45853961,464499562.2,5.31e-07,859276802.1,2500,True,False,lbm
