filename,tau,delta_p,dP_L,v,mu,rho,d,phi,f,Re_p,f_ergun,regime_true,steps,converged,stalled
ergun_comb_phi0.150_d6_Re1.0e-06,,,4.117339421544444e-06,2.7881084343439468e-08,0.1666567055,1.0,6,0.15,31779612720.081615,1.0037790292250605e-06,31990219578.81299,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re1.6e-06,,,6.75863269512088e-06,4.522778647801283e-08,0.1666567055,1.0,6,0.15,19824371560.502674,1.6282976316730142e-06,19720664824.510777,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re2.6e-06,,,1.0556006090890169e-05,6.973841223970922e-08,0.1666567055,1.0,6,0.15,13022871992.36849,2.5107328996027427e-06,12789537358.901909,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re4.1e-06,,,1.8347288338474078e-05,1.1771468213262497e-07,0.1666567055,1.0,6,0.15,7944414001.369474,4.237981848235622e-06,7576982188.427974,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re6.5e-06,,,2.4703551780630973e-05,1.770361735172935e-07,0.1666567055,1.0,6,0.15,4729188458.834797,6.373683182545337e-06,5038078141.096018,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re1.0e-05,,,4.222534656285051e-05,2.8346546434000797e-07,0.1666567055,1.0,6,0.15,3153001400.4160647,1.0205366660389479e-05,3146493083.258459,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re1.7e-05,,,6.326198292275946e-05,4.3024723099799665e-07,0.1666567055,1.0,6,0.15,2050491073.786544,1.548982609636418e-05,2073045735.8488848,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re2.7e-05,,,0.00010172843931368265,7.098516367601943e-07,0.1666567055,1.0,6,0.15,1211318795.429253,2.555618633995597e-05,1256491166.076657,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re4.2e-05,,,0.00016943636613750058,1.1579748467581684e-06,0.1666567055,1.0,6,0.15,758157834.7817726,4.168958614478918e-05,770243421.7957281,viscous,0,TRUE,FALSE
ergun_comb_phi0.150_d6_Re6.8e-05,,,0.0002980965887632201,1.9034570540356871e-06,0.1666567055,1.0,6,0.15,493653353.13429654,6.852854969111412e-05,468580488.8498701,viscous,0,TRUE,FALSE
