filename,tau,delta_p,dP_L,v,mu,rho,d,phi,f,Re_p,f_ergun,steps,converged,stalled
ergun_full_phi0.150_d6_Re1.0e-06,,,4.117339421544444e-06,2.7881084343439468e-08,0.1666567055,1.0,6,0.15,31779612720.081615,1.0037790292250605e-06,31990219578.81299,0,TRUE,FALSE
ergun_full_phi0.150_d6_Re1.8e-06,,,7.617073820591915e-06,5.0972349424427944e-08,0.1666567055,1.0,6,0.15,17590173038.30007,1.8351142585532968e-06,17498154008.805626,0,TRUE,FALSE
ergun_full_phi0.150_d6_Re3.2e-06,,,1.3407823152602884e-05,8.857898351868501e-08,0.1666567055,1.0,6,0.15,10252933460.367428,3.1890340056680776e-06,10069228631.483751,0,TRUE,FALSE
ergun_full_phi0.150_d6_Re5.8e-06,,,2.626393847700261e-05,1.6850724939503247e-07,0.1666567055,1.0,6,0.15,5549756439.147538,6.066623562111606e-06,5293078341.874633,0,TRUE,FALSE
ergun_full_phi0.150_d6_Re1.1e-05,,,3.9854438600849224e-05,2.856138660411406e-07,0.1666567055,1.0,6,0.15,2931361439.5537043,1.0282713744433425e-05,3122825009.157279,0,TRUE,FALSE
ergun_full_phi0.150_d6_Re1.9e-05,,,7.677500698473998e-05,5.154027682864361e-07,0.1666567055,1.0,6,0.15,1734113907.5383968,1.855560867137516e-05,1730534409.1924129,0,TRUE,FALSE
ergun_full_phi0.150_d6_Re3.4e-05,,,0.00012963396601776373,8.81645498681224e-07,0.1666567055,1.0,6,0.15,1000649699.66664,3.17411350249411e-05,1011656485.3616815,0,TRUE,FALSE
ergun_full_phi0.150_d6_Re6.1e-05,,,0.00023493504790552585,1.6393542731450956e-06,0.1666567055,1.0,6,0.15,524509581.9744755,5.90202812983758e-05,544069537.0700866,0,TRUE,FALSE
ergun_full_phi0.150_d6_Re1.1e-04,,,0.0004410030309995752,3.0139335523963083e-06,0.1666567055,1.0,6,0.15,291289934.71460533,0.00010850809308946678,295933308.02129424,0,TRUE,FALSE
ergun_full_phi0.150_d6_Re2.0e-04,,,0.0008744231801998222,5.583505503169851e-06,0.1666567055,1.0,6,0.15,168290273.104062,0.0002010182123696133,159742738.37926635,0,TRUE,FALSE
ergun_full_phi0.150_d6_Re3.6e-04,,,0.0015741224000782802,9.889819708905023e-06,0.1666567055,1.0,6,0.15,96563500.40554006,0.0003560547898472056,90186311.0807831,0,TRUE,FALSE
ergun_full_phi0.150_d6_Re6.4e-04,,,0.002650499934340775,1.7519248343384634e-05,0.1666567055,1.0,6,0.15,51814118.04476623,0.0006307306372398427,50911414.800338365,0,TRUE,FALSE
