filename,tau,delta_p,dP_L,v,mu,rho,d,phi,f,Re_p,f_ergun,steps,converged,stalled
ergun_viscous_phi0.150_d6_Re1.0e-06,,,4.117339421544444e-06,2.7881084343439468e-08,0.1666567055,1.0,6,0.15,31779612720.081615,1.0037790292250605e-06,31990219578.81299,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re1.3e-06,,,5.369295279642279e-06,3.593054283539271e-08,0.1666567055,1.0,6,0.15,24954046588.931324,1.2935768552820471e-06,24823505113.070175,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re1.6e-06,,,6.662182377185681e-06,4.401380815261761e-08,0.1666567055,1.0,6,0.15,20634306417.08773,1.584591799792332e-06,20264595471.031456,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re2.0e-06,,,9.199139604292315e-06,5.9020919377448847e-08,0.1666567055,1.0,6,0.15,15844791162.899305,2.124880095296814e-06,15111964255.633398,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re2.6e-06,,,9.839956023021102e-06,7.051731949546337e-08,0.1666567055,1.0,6,0.15,11872790833.736994,2.5387752368162603e-06,12648269041.067844,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re3.3e-06,,,1.3361813567173433e-05,8.969998728760185e-08,0.1666567055,1.0,6,0.15,9963958161.900263,3.229392553458409e-06,9943390901.811447,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re4.2e-06,,,1.590352528093379e-05,1.081605173934346e-07,0.1666567055,1.0,6,0.15,8156562001.838834,3.894011359540571e-06,8246281241.241461,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re5.3e-06,,,2.0316616239939065e-05,1.4176750805466893e-07,0.1666567055,1.0,6,0.15,6065257124.12061,5.10393533687136e-06,6291442042.505776,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re6.7e-06,,,2.6882767896562236e-05,1.8372433693890988e-07,0.1666567055,1.0,6,0.15,4778502916.504608,6.614471456916321e-06,4854675726.629929,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re8.5e-06,,,3.757358700329079e-05,2.399214573873825e-07,0.1666567055,1.0,6,0.15,3916478313.7143445,8.63768871468718e-06,3717558710.293875,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re1.1e-05,,,4.767906280696161e-05,2.995571180758474e-07,0.1666567055,1.0,6,0.15,3188009985.883637,1.0784700819944412e-05,2977469324.414106,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re1.4e-05,,,5.6590628145985644e-05,3.7405534523969466e-07,0.1666567055,1.0,6,0.15,2426744391.4434743,1.3466797298703158e-05,2384465759.3212314,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re1.7e-05,,,7.430862043426953e-05,4.975331422365455e-07,0.1666567055,1.0,6,0.15,1801135629.6354666,1.7912263682779168e-05,1792689052.2858415,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re2.2e-05,,,8.530469630727017e-05,6.00913830213111e-07,0.1666567055,1.0,6,0.15,1417424034.1237,2.1634190898359417e-05,1484276476.8529208,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re2.8e-05,,,0.00011559552888695326,7.691016977516538e-07,0.1666567055,1.0,6,0.15,1172532115.0831423,2.768931602641049e-05,1159693626.3897848,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re3.6e-05,,,0.0001412131603861526,9.59934348047453e-07,0.1666567055,1.0,6,0.15,919482270.7270845,3.455970205942129e-05,929149397.4041947,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re4.5e-05,,,0.0001908488929988385,1.2495954623257927e-06,0.1666567055,1.0,6,0.15,733334330.4918505,4.498812544902225e-05,713769036.1337059,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re5.7e-05,,,0.00024265082888263808,1.6035739399119614e-06,0.1666567055,1.0,6,0.15,566180685.5645084,5.7732112311987166e-05,556209278.8580973,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re7.3e-05,,,0.0002928083173317542,1.9825396545106657e-06,0.1666567055,1.0,6,0.15,446982884.37662953,7.13756934734558e-05,449889044.94818074,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re9.2e-05,,,0.0004207350604063563,2.6266552188396203e-06,0.1666567055,1.0,6,0.15,365892758.4800082,9.4565239758911e-05,339566133.09214455,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re1.2e-04,,,0.000502670776472182,3.1349664889993896e-06,0.1666567055,1.0,6,0.15,306880351.0642584,0.00011286553923866171,284508106.47926193,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re1.5e-04,,,0.000664910257342033,4.301505902550852e-06,0.1666567055,1.0,6,0.15,215612153.24131605,0.00015486346821673558,207351544.786601,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re1.9e-04,,,0.0007732842615665671,5.284198939571637e-06,0.1666567055,1.0,6,0.15,166162149.79394853,0.00019024253204999198,168790830.38227972,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re2.4e-04,,,0.0011395195534863688,6.949894258595646e-06,0.1666567055,1.0,6,0.15,141552204.82475185,0.0002502111476791066,128336493.74623397,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re3.0e-04,,,0.0014146142145111142,8.91052647959671e-06,0.1666567055,1.0,6,0.15,106901189.53289098,0.00032079812640710257,100098005.12102997,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re3.9e-04,,,0.001515215246265171,1.0827661962954834e-05,0.1666567055,1.0,6,0.15,77545429.27937296,0.00038981912898625615,82374825.99632746,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re4.9e-04,,,0.0020878649134775163,1.3591540458019769e-05,0.1666567055,1.0,6,0.15,67813519.07190241,0.0004893247019581736,65623759.94496089,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re6.2e-04,,,0.0025162181745252677,1.6595454159316084e-05,0.1666567055,1.0,6,0.15,54817756.98572285,0.0005974720588479202,53745399.41383685,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re7.9e-04,,,0.0034128613733057206,2.217297100256381e-05,0.1666567055,1.0,6,0.15,41650682.3185486,0.0007982746665742943,40226082.93594196,0,TRUE,FALSE
ergun_viscous_phi0.150_d6_Re1.0e-03,,,0.003855285580530995,2.680673153716755e-05,0.1666567055,1.0,6,0.15,32189933.11727576,0.0009651000164707162,33272755.07406606,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re1.0e-06,,,8.302574010617843e-07,1.644888823714914e-08,0.1666567055,1.0,10,0.15,30685955868.2184,9.869922837967741e-07,32534308599.245987,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re1.3e-06,,,1.1631683417194424e-06,2.2280914103089153e-08,0.1666567055,1.0,10,0.15,23430230692.321625,1.3369347507645981e-06,24018458404.18783,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re1.6e-06,,,1.4317551001586615e-06,2.7102255484957585e-08,0.1666567055,1.0,10,0.15,19492065808.346905,1.6262325241367251e-06,19745707548.74308,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re2.0e-06,,,2.0414927359209004e-06,3.5710705151600034e-08,0.1666567055,1.0,10,0.15,16008512779.791534,2.1427703760530676e-06,14985792418.254925,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re2.6e-06,,,2.111043948078646e-06,4.4042071971663414e-08,0.1666567055,1.0,10,0.15,10883329803.794558,2.6426822634906466e-06,12150954626.468855,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re3.3e-06,,,3.0413489429324027e-06,5.492145681524829e-08,0.1666567055,1.0,10,0.15,10082823240.798147,3.295484370129247e-06,9743973558.067871,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re4.2e-06,,,3.7209459969960555e-06,7.171217533650478e-08,0.1666567055,1.0,10,0.15,7235483769.016525,4.3029876968559645e-06,7462515644.903079,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re5.3e-06,,,4.672020854454458e-06,9.326085825382648e-08,0.1666567055,1.0,10,0.15,5371628347.0120125,5.595985950521893e-06,5738240564.112811,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re6.7e-06,,,6.1598846217499775e-06,1.098474703655744e-07,0.1666567055,1.0,10,0.15,5104961337.532441,6.591242160704683e-06,4871784897.78124,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re8.5e-06,,,8.422790112817734e-06,1.42395544156445e-07,0.1666567055,1.0,10,0.15,4153968314.6562657,8.544243313176798e-06,3758216345.195365,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re1.1e-05,,,9.407847998586834e-06,1.8145199034496054e-07,0.1666567055,1.0,10,0.15,2857372227.701161,1.088777015005619e-05,2949283045.769411,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re1.4e-05,,,1.1471464994511597e-05,2.2637820627792167e-07,0.1666567055,1.0,10,0.15,2238461634.539152,1.3583504221972135e-05,2363978880.05756,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re1.7e-05,,,1.5442686557957867e-05,2.7961175110067283e-07,0.1666567055,1.0,10,0.15,1975204279.8450828,1.6777707819303605e-05,1913915705.9813032,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re2.2e-05,,,2.1419609017832746e-05,3.751649796640585e-07,0.1666567055,1.0,10,0.15,1521832854.413045,2.2511244209376173e-05,1426448077.8614159,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re2.8e-05,,,2.6633228311668816e-05,4.5736931094893293e-07,0.1666567055,1.0,10,0.15,1273179892.3161473,2.7443798890464264e-05,1170068449.1558793,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re3.6e-05,,,3.407758274608317e-05,5.885760735309856e-07,0.1666567055,1.0,10,0.15,983702044.8347118,3.531667518358483e-05,909234136.8400934,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re4.5e-05,,,3.8358718163405204e-05,7.436293304275338e-07,0.1666567055,1.0,10,0.15,693667047.443475,4.46204266546919e-05,719650912.9249772,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re5.7e-05,,,5.427178223057762e-05,9.63158794026726e-07,0.1666567055,1.0,10,0.15,585030212.8881183,5.7792981754744095e-05,555623461.6705302,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re7.3e-05,,,6.335100221201804e-05,1.2189601977654542e-06,0.1666567055,1.0,10,0.15,426358023.0636581,7.31419833428457e-05,439024782.76047385,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re9.2e-05,,,7.377522350595087e-05,1.4786503966500783e-06,0.1666567055,1.0,10,0.15,337426762.983011,8.872432658583176e-05,361920472.67298526,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re1.2e-04,,,0.00011150847121520762,1.983068341047e-06,0.1666567055,1.0,10,0.15,283551859.17511654,0.0001189912122106002,269861639.01375514,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re1.5e-04,,,0.00012509659530268876,2.466584615562662e-06,0.1666567055,1.0,10,0.15,205614365.08594918,0.00014800392268420678,216961657.23245493,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re1.9e-04,,,0.00016208225204934423,3.228937085178195e-06,0.1666567055,1.0,10,0.15,155459152.7004385,0.0001937478048357433,165737085.5421333,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re2.4e-04,,,0.00021567879352544838,3.906993520924096e-06,0.1666567055,1.0,10,0.15,141293461.02770692,0.00023443362264977067,136973587.97177222,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re3.0e-04,,,0.00025830595852290543,4.734397256999242e-06,0.1666567055,1.0,10,0.15,115240472.97657797,0.0002840808140779695,113035568.49244389,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re3.9e-04,,,0.0003398638321621126,6.316137658116904e-06,0.1666567055,1.0,10,0.15,85192581.13371927,0.00037899091063677026,84728359.56380406,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re4.9e-04,,,0.0004399076928237796,8.13751237686046e-06,0.1666567055,1.0,10,0.15,66432138.42837886,0.00048827992563794324,65764174.66684386,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re6.2e-04,,,0.0005444833544622165,1.0567457062479597e-05,0.1666567055,1.0,10,0.15,48757746.335767165,0.0006340853211261636,50642065.83636724,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re7.9e-04,,,0.0007605682819510541,1.3705290836789368e-05,0.1666567055,1.0,10,0.15,40491297.91670323,0.0008223666005919796,39047638.289858095,0,TRUE,FALSE
ergun_viscous_phi0.150_d10_Re1.0e-03,,,0.000969604416135009,1.709289581624136e-05,0.1666567055,1.0,10,0.15,33186640.727184884,0.0010256350481044018,31308956.54317893,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re1.0e-06,,,1.306455750239782e-06,2.844021652751417e-08,0.1666567055,1.0,6,0.21363636363636362,9691258056.819452,1.0239089909591728e-06,9290759591.168304,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re1.3e-06,,,1.4486236998120432e-06,3.532683374670881e-08,0.1666567055,1.0,6,0.21363636363636362,6964619708.857337,1.271842029064068e-06,7479617826.617929,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re1.6e-06,,,1.8876944093666578e-06,4.4545989816846904e-08,0.1666567055,1.0,6,0.21363636363636362,5707760124.692502,1.6037514848214818e-06,5931649915.904896,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re2.0e-06,,,2.4261900100785578e-06,5.438507134372778e-08,0.1666567055,1.0,6,0.21363636363636362,4921717196.528082,1.957979590940412e-06,4858524804.897891,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re2.6e-06,,,2.9616113774289064e-06,7.08038883719398e-08,0.1666567055,1.0,6,0.21363636363636362,3544582612.546041,2.5490923329912983e-06,3731874428.5467277,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re3.3e-06,,,3.953532562931644e-06,8.857758448489256e-08,0.1666567055,1.0,6,0.21363636363636362,3023353330.008246,3.188983637441191e-06,2983048414.584877,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re4.2e-06,,,5.515488263742003e-06,1.172287879074897e-07,0.1666567055,1.0,6,0.21363636363636362,2408056463.780732,4.22048861061242e-06,2253979007.4229198,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re5.3e-06,,,6.82471220456179e-06,1.4710525293893052e-07,0.1666567055,1.0,6,0.21363636363636362,1892253121.1624901,5.296105638147174e-06,1796205274.4332356,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re6.7e-06,,,9.085232874851134e-06,1.947724939423475e-07,0.1666567055,1.0,6,0.21363636363636362,1436918260.1703155,7.012228881808089e-06,1356614748.854062,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re8.5e-06,,,1.03371856206711e-05,2.207439815829508e-07,0.1666567055,1.0,6,0.21363636363636362,1272845881.8084671,7.947258320774287e-06,1197003151.4516323,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re1.1e-05,,,1.3665142531315042e-05,3.037939729062856e-07,0.1666567055,1.0,6,0.21363636363636362,888397053.179292,1.0937236710452757e-05,869771216.3683265,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re1.4e-05,,,1.732142655082013e-05,3.8586842023327736e-07,0.1666567055,1.0,6,0.21363636363636362,698001623.7480963,1.3892093417145249e-05,684770380.4419508,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re1.7e-05,,,2.114714393137011e-05,4.888914558207093e-07,0.1666567055,1.0,6,0.21363636363636362,530857645.9954629,1.7601144377141522e-05,540470233.8687913,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re2.2e-05,,,2.5420903497510193e-05,5.803941637740553e-07,0.1666567055,1.0,6,0.21363636363636362,452789303.7873023,2.0895438753553975e-05,455261801.1524446,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re2.8e-05,,,3.538051952892991e-05,7.611595748112581e-07,0.1666567055,1.0,6,0.21363636363636362,366407223.1401228,2.7403382511167833e-05,347143130.8685322,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re3.6e-05,,,4.337895890167069e-05,9.809195470096842e-07,0.1666567055,1.0,6,0.21363636363636362,270497712.8017656,3.531521437676629e-05,269371070.9629099,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re4.5e-05,,,5.254358515704785e-05,1.2239807299048804e-06,0.1666567055,1.0,6,0.21363636363636362,210436849.77081585,4.406593996560961e-05,215878711.77638653,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re5.7e-05,,,6.512094442970434e-05,1.5927292993596708e-06,0.1666567055,1.0,6,0.21363636363636362,154023859.68837777,5.7341681917251296e-05,165898521.08622044,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re7.3e-05,,,8.936924552361974e-05,2.040131136347656e-06,0.1666567055,1.0,6,0.21363636363636362,128831829.39761369,7.34491107415173e-05,129516918.63873824,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re9.2e-05,,,9.671563990127232e-05,2.475940685179201e-06,0.1666567055,1.0,6,0.21363636363636362,94660215.17960453,8.913919224855434e-05,106719664.76762511,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re1.2e-04,,,0.00014344757343323294,3.3061422116207904e-06,0.1666567055,1.0,6,0.21363636363636362,78741085.11113617,0.00011902823357878476,79921449.27974282,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re1.5e-04,,,0.00017696432248665638,4.066117675685711e-06,0.1666567055,1.0,6,0.21363636363636362,64221002.6489494,0.00014638898555518527,64983801.60444917,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re1.9e-04,,,0.0002431940297549613,5.536052184682451e-06,0.1666567055,1.0,6,0.21363636363636362,47610616.9209414,0.00019930979079683478,47729317.38757563,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re2.4e-04,,,0.00027268011525465177,6.669763501510079e-06,0.1666567055,1.0,6,0.21363636363636362,36777639.34087263,0.00024012583765530197,39616419.94410439,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re3.0e-04,,,0.0004089319000803046,8.869376087777897e-06,0.1666567055,1.0,6,0.21363636363636362,31190052.050381366,0.00031931662375665634,29791550.119403273,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re3.9e-04,,,0.0004882586951604545,1.1060617055410409e-05,0.1666567055,1.0,6,0.21363636363636362,23946526.33951937,0.00039820601357358796,23889514.498585515,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re4.9e-04,,,0.0006268458733745201,1.3972356496945878e-05,0.1666567055,1.0,6,0.21363636363636362,19265163.794459477,0.0005030348987768469,18911139.47141122,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re6.2e-04,,,0.0007678851001436464,1.7569691229023134e-05,0.1666567055,1.0,6,0.21363636363636362,14925168.148219742,0.0006325466896628339,15039176.655124854,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re7.9e-04,,,0.0009709552944525069,2.0942099758238752e-05,0.1666567055,1.0,6,0.21363636363636362,13283424.036989238,0.0007539606532629586,12617367.36935996,0,TRUE,FALSE
ergun_viscous_phi0.214_d6_Re1.0e-03,,,0.0011404862623251243,2.6209653120973614e-05,0.1666567055,1.0,6,0.21363636363636362,9961362.90700506,0.0009436039087298632,10081587.434755255,0,TRUE,FALSE
ergun_viscous_phi0.214_d10_Re1.0e-06,,,2.492573959773525e-07,1.6563728479151333e-08,0.1666567055,1.0,10,0.21363636363636362,9085144687.335527,9.938831101609249e-07,9571439716.345917,0,TRUE,FALSE
ergun_viscous_phi0.214_d10_Re1.3e-06,,,3.3809956880898805e-07,2.154067697474903e-08,0.1666567055,1.0,10,0.21363636363636362,7286616632.002906,1.2925178684003824e-06,7359969675.25157,0,TRUE,FALSE
ergun_viscous_phi0.214_d10_Re1.6e-06,,,4.309739831831731e-07,2.6486675997378738e-08,0.1666567055,1.0,10,0.21363636363636362,6143220950.815685,1.5892955472696978e-06,5985603102.189491,0,TRUE,FALSE
ergun_viscous_phi0.214_d10_Re2.0e-06,,,5.704992070522656e-07,3.357054180581044e-08,0.1666567055,1.0,10,0.21363636363636362,5062188863.529706,2.0143529001784114e-06,4722555028.556084,0,TRUE,FALSE
ergun_viscous_phi0.214_d10_Re2.6e-06,,,6.761301733895199e-07,4.3671181915975383e-08,0.1666567055,1.0,10,0.21363636363636362,3545197430.1418915,2.6204275300507115e-06,3630282613.9895463,0,TRUE,FALSE
ergun_viscous_phi0.214_d10_Re3.3e-06,,,7.681933618429284e-07,5.1728831130330626e-08,0.1666567055,1.0,10,0.21363636363636362,2870815085.4140973,3.1039153795303257e-06,3064804096.9594264,0,TRUE,FALSE
ergun_viscous_phi0.214_d10_Re4.2e-06,,,1.136865598964105e-06,7.189067906872836e-08,0.1666567055,1.0,10,0.21363636363636362,2199702524.876685,4.313698560945594e-06,2205275266.2573266,0,TRUE,FALSE
ergun_viscous_phi0.214_d10_Re5.3e-06,,,1.5069196211969005e-06,8.755318184747698e-08,0.1666567055,1.0,10,0.21363636363636362,1965831184.783687,5.253504897075802e-06,1810770725.7450418,0,TRUE,FALSE
ergun_viscous_phi0.214_d10_Re6.7e-06,,,1.660028649808927e-06,1.0781956481732678e-07,0.1666567055,1.0,10,0.21363636363636362,1427974441.2578037,6.469560555265313e-06,1470407914.9656334,0,TRUE,FALSE
ergun_viscous_phi0.214_d10_Re8.5e-06,,,2.2885878064523342e-06,1.40184503728063e-07,0.1666567055,1.0,10,0.21363636363636362,1164575267.679027,8.41157295816477e-06,1130929181.5229971,0,TRUE,FALSE
