π1,π2,π3,π4,f
1258.9593711136,0.0004296684,0.7523795928,1.0000000000,0.9352485880
978.7752080680,0.0005547699,0.7523795928,1.0000000000,0.9370276903
804.1934610467,0.0006839759,0.7523795928,1.0000000000,0.9430944080
613.0607445509,0.0009376005,0.7523795928,1.0000000000,0.9640846424
457.7767866588,0.0009994193,0.7523795928,1.0000000000,0.8601124776
382.7033592635,0.0013519150,0.7523795928,1.0000000000,0.9146613796
312.5259403680,0.0016051881,0.7523795928,1.0000000000,0.9006592482
231.7468565368,0.0020448885,0.7523795928,1.0000000000,0.8753792415
182.2056487564,0.0027002102,0.7523795928,1.0000000000,0.8919370650
149.0926820061,0.0037678783,0.7523795928,1.0000000000,0.9530838363
121.2321892538,0.0047761680,0.7523795928,1.0000000000,0.9676165274
92.2043700066,0.0056640307,0.7523795928,1.0000000000,0.9189524842
68.3759736969,0.0074310454,0.7523795928,1.0000000000,0.9064236444
53.7853185491,0.0085268870,0.7523795928,1.0000000000,0.8611556014
44.4718619379,0.0115492881,0.7523795928,1.0000000000,0.9113281154
34.8625693764,0.0141040818,0.7523795928,1.0000000000,0.8916750389
27.7960416330,0.0190556687,0.7523795928,1.0000000000,0.9254609090
21.4554240316,0.0242224152,0.7523795928,1.0000000000,0.9167095970
16.9358179374,0.0292248509,0.7523795928,1.0000000000,0.8946099933
13.8611655026,0.0419863625,0.7523795928,1.0000000000,0.9700821315
11.6246627968,0.0501589610,0.7523795928,1.0000000000,0.9709993806
8.1664978945,0.0663405798,0.7523795928,1.0000000000,0.9359702907
6.2931822846,0.0771491229,0.7523795928,1.0000000000,0.8860437309
5.3607937966,0.1136809930,0.7523795928,1.0000000000,0.9926884878
4.0483388743,0.1411191498,0.7523795928,1.0000000000,0.9611383586
2.9365607575,0.1511508976,0.7523795928,1.0000000000,0.8471871614
2.5679582680,0.2082704658,0.7523795928,1.0000000000,0.9299558485
2.0757968138,0.2509952410,0.7523795928,1.0000000000,0.9178668165
1.5771609580,0.3404286934,0.7523795928,1.0000000000,0.9317632835
1.2189015041,0.3845552149,0.7523795928,1.0000000000,0.8705990002
1216.5475182948,0.0004014228,0.7523795928,1.0000000000,0.8886281416
917.9741407395,0.0005557716,0.7523795928,1.0000000000,0.9082761019
759.1227032217,0.0006800216,0.7523795928,1.0000000000,0.9136331538
619.2848622164,0.0009631350,0.7523795928,1.0000000000,0.9820719931
419.3301342307,0.0009919537,0.7523795928,1.0000000000,0.8201216016
387.1587821639,0.0014242069,0.7523795928,1.0000000000,0.9442469689
276.9236559112,0.0017367836,0.7523795928,1.0000000000,0.8818757266
205.0814315847,0.0021753293,0.7523795928,1.0000000000,0.8493372740
194.6583793523,0.0028645281,0.7523795928,1.0000000000,0.9495494776
158.1427056030,0.0039105859,0.7523795928,1.0000000000,1.0000000000
108.6544396814,0.0043628553,0.7523795928,1.0000000000,0.8755151158
85.0480399897,0.0053153688,0.7523795928,1.0000000000,0.8549748891
74.9971951327,0.0071508179,0.7523795928,1.0000000000,0.9312255352
57.7423800372,0.0099114941,0.7523795928,1.0000000000,0.9619918844
48.2899593615,0.0123194336,0.7523795928,1.0000000000,0.9807951196
37.2964174685,0.0157569510,0.7523795928,1.0000000000,0.9748193843
26.2927305735,0.0177316265,0.7523795928,1.0000000000,0.8682536903
22.1697083266,0.0250816226,0.7523795928,1.0000000000,0.9482269827
16.1541048293,0.0292726344,0.7523795928,1.0000000000,0.8744336415
12.7831981185,0.0340855565,0.7523795928,1.0000000000,0.8393816286
10.7407486722,0.0515121620,0.7523795928,1.0000000000,0.9458595899
7.7879318410,0.0577848566,0.7523795928,1.0000000000,0.8530462853
5.8877934773,0.0748637531,0.7523795928,1.0000000000,0.8442412863
5.3510627267,0.0996151252,0.7523795928,1.0000000000,0.9284043543
4.3642306152,0.1192990390,0.7523795928,1.0000000000,0.9175438391
3.2261615028,0.1569600540,0.7523795928,1.0000000000,0.9048823703
2.5156487753,0.2031576554,0.7523795928,1.0000000000,0.9090674431
1.8463117659,0.2514466665,0.7523795928,1.0000000000,0.8664229849
1.5332561384,0.3512295809,0.7523795928,1.0000000000,0.9331627705
1.2566381463,0.4477559765,0.7523795928,1.0000000000,0.9538505187
905.1949929521,0.0003214477,0.8235187947,0.9199276031,0.6859314688
645.4420015572,0.0003536462,0.8235187947,0.9199276031,0.6075298539
525.4077173283,0.0004577370,0.8235187947,0.9199276031,0.6236066634
450.9258712427,0.0005855540,0.8235187947,0.9199276031,0.6534171691
323.1462462205,0.0007112392,0.8235187947,0.9199276031,0.6096237950
274.7166651578,0.0009463135,0.8235187947,0.9199276031,0.6483574789
218.1012732608,0.0013159189,0.8235187947,0.9199276031,0.6812368964
171.0356039382,0.0016249696,0.8235187947,0.9199276031,0.6703789867
129.6249314997,0.0021589677,0.8235187947,0.9199276031,0.6727006560
114.7421432478,0.0024547262,0.8235187947,0.9199276031,0.6748659484
79.9685730729,0.0032402612,0.8235187947,0.9199276031,0.6472978825
62.7782652445,0.0041038374,0.8235187947,0.9199276031,0.6454375586
47.7145068435,0.0050070012,0.8235187947,0.9199276031,0.6215392694
40.6820460169,0.0060166011,0.8235187947,0.9199276031,0.6291171284
32.9048754837,0.0083697800,0.8235187947,0.9199276031,0.6673315421
24.2833383784,0.0102583505,0.8235187947,0.9199276031,0.6346692640
18.8869738325,0.0124226400,0.8235187947,0.9199276031,0.6159460084
13.8207358964,0.0153927944,0.8235187947,0.9199276031,0.5865145946
11.5583374482,0.0211209720,0.8235187947,0.9199276031,0.6282885423
8.4917103181,0.0228548305,0.8235187947,0.9199276031,0.5601974052
7.0627961899,0.0338939432,0.8235187947,0.9199276031,0.6221625855
5.7600078835,0.0418104966,0.8235187947,0.9199276031,0.6240346533
4.2698816830,0.0574537729,0.8235187947,0.9199276031,0.6298276207
3.2982214254,0.0644173775,0.8235187947,0.9199276031,0.5861326709
2.7969995795,0.0966008404,0.8235187947,0.9199276031,0.6609843210
2.1473696697,0.1153367978,0.8235187947,0.9199276031,0.6328369913
1.7275340589,0.1480704159,0.8235187947,0.9199276031,0.6431347297
1.3383347799,0.1813825006,0.8235187947,0.9199276031,0.6265194812
1.1911050494,0.2293469008,0.8235187947,0.9199276031,0.6646239327
0.8932080476,0.2693875595,0.8235187947,0.9199276031,0.6237629665
849.6082173088,0.0002842724,0.8235187947,0.9199276031,0.6249298115
674.9320322193,0.0003819254,0.8235187947,0.9199276031,0.6456153151
565.6259082559,0.0004839317,0.8235187947,0.9199276031,0.6652902957
463.5188434867,0.0006370653,0.8235187947,0.9199276031,0.6910033940
323.0573592089,0.0007513969,0.8235187947,0.9199276031,0.6265114612
260.9507452696,0.0008515766,0.8235187947,0.9199276031,0.5994398935
199.1872324135,0.0012554706,0.8235187947,0.9199276031,0.6358995520
177.6976473646,0.0016612133,0.8235187947,0.9199276031,0.6908886331
128.8834982345,0.0018272263,0.8235187947,0.9199276031,0.6170911610
104.9509990142,0.0025152807,0.8235187947,0.9199276031,0.6533426672
78.2561726021,0.0029856534,0.8235187947,0.9199276031,0.6146579453
67.7901546860,0.0039359329,0.8235187947,0.9199276031,0.6568431297
46.7458496841,0.0050507194,0.8235187947,0.9199276031,0.6178778873
36.0363641574,0.0060325071,0.8235187947,0.9199276031,0.5928897065
33.0670474415,0.0085802163,0.8235187947,0.9199276031,0.6773315932
26.7995383348,0.0116133593,0.8235187947,0.9199276031,0.7094096502
19.9084368936,0.0131436210,0.8235187947,0.9199276031,0.6504749865
15.3982369299,0.0169614664,0.8235187947,0.9199276031,0.6498628374
11.4031886893,0.0204560500,0.8235187947,0.9199276031,0.6141557874
11.0536011746,0.0303232432,0.8235187947,0.9199276031,0.7361973079
6.5969374898,0.0305564866,0.8235187947,0.9199276031,0.5709228147
6.0509020871,0.0436106076,0.8235187947,0.9199276031,0.6532217498
4.9116425645,0.0575131672,0.8235187947,0.9199276031,0.6758518770
3.4302799815,0.0707808652,0.8235187947,0.9199276031,0.6265810021
2.7075068814,0.0823431373,0.8235187947,0.9199276031,0.6004170198
2.0984852432,0.1013737851,0.8235187947,0.9199276031,0.5865030784
1.8203880912,0.1587462725,0.8235187947,0.9199276031,0.6835782975
