filename,tau,delta_p,dP_L,v,mu,rho,d,phi,f,Re_p,f_ergun,steps,converged,stalled,one_minus_phi
ergun_inertial_phi0.459_d6_Re1.0e+03,,,1323.4328500636173,27.88108434343947,0.1666567055,1.0,6,0.45854,10.214893437247705,1003.7790292250604,10.282588617741046,0,True,False,0.54146
ergun_inertial_phi0.459_d6_Re1.3e+03,,,2202.092262144995,35.93054283539268,0.1666567055,1.0,6,0.45854,10.234324998112694,1293.576855282046,10.180786431334155,0,True,False,0.54146
ergun_inertial_phi0.459_d6_Re1.6e+03,,,3325.742273413789,44.01380815261761,0.1666567055,1.0,6,0.45854,10.300586391763002,1584.591799792332,10.116027751271002,0,True,False,0.54146
ergun_inertial_phi0.459_d6_Re2.0e+03,,,6113.397486844256,59.020919377448784,0.1666567055,1.0,6,0.45854,10.52984416386544,2124.880095296812,10.042835338487809,0,True,False,0.54146
ergun_inertial_phi0.459_d6_Re2.6e+03,,,7785.784302602585,70.51731949546337,0.1666567055,1.0,6,0.45854,9.394248133337936,2538.77523681626,10.00783888918292,0,True,False,0.54146
ergun_inertial_phi0.459_d6_Re3.3e+03,,,13396.78642415563,89.69998728760176,0.1666567055,1.0,6,0.45854,9.990037562126975,3229.392553458406,9.969416469836268,0,True,False,0.54146
ergun_inertial_phi0.459_d6_Re4.2e+03,,,19180.218652544398,108.1605173934346,0.1666567055,1.0,6,0.45854,9.83710465979894,3894.011359540571,9.94530926215496,0,True,False,0.54146
ergun_inertial_phi0.459_d6_Re5.3e+03,,,32026.183192099583,141.7675080546688,0.1666567055,1.0,6,0.45854,9.560993497648342,5103.935336871356,9.917541042079154,0,True,False,0.54146
ergun_inertial_phi0.459_d6_Re6.7e+03,,,54805.3704763323,183.7243369389099,0.1666567055,1.0,6,0.45854,9.741839964878004,6614.471456916321,9.897131975552076,0,True,False,0.54146
ergun_inertial_phi0.459_d6_Re8.5e+03,,,99867.64636775057,239.92145738738228,0.1666567055,1.0,6,0.45854,10.4096920852069,8637.688714687172,9.880979385823988,0,True,False,0.54146
ergun_inertial_phi0.459_d6_Re1.1e+04,,,158058.58660420953,299.5571180758473,0.1666567055,1.0,6,0.45854,10.56841982169374,10784.70081994441,9.870466518598812,0,True,False,0.54146
ergun_inertial_phi0.459_d6_Re1.4e+04,,,234056.2891905988,374.05534523969465,0.1666567055,1.0,6,0.45854,10.03690550333022,13466.79729870316,9.862042985086754,0,True,False,0.54146
