π1,π2,π3,π4,f
1290.6276054044,0.0004404764,0.1764705882,1.0000000000,0.9558577744
998.0651777991,0.0005657034,0.1764705882,1.0000000000,0.9525885313
817.2108571061,0.0006950473,0.1764705882,1.0000000000,0.9554451066
620.5108108508,0.0009489944,0.1764705882,1.0000000000,0.9728323170
462.4471417707,0.0010096156,0.1764705882,1.0000000000,0.8662446425
385.7824372091,0.0013627920,0.1764705882,1.0000000000,0.9192158420
314.6148486177,0.0016159171,0.1764705882,1.0000000000,0.9039213379
232.9304606561,0.0020553324,0.1764705882,1.0000000000,0.8771738126
182.9240634762,0.0027108568,0.1764705882,1.0000000000,0.8927301358
149.5426265398,0.0037792494,0.1764705882,1.0000000000,0.9530523611
121.5248715045,0.0047876988,0.1764705882,1.0000000000,0.9670022416
92.3822889579,0.0056749601,0.1764705882,1.0000000000,0.9179251101
68.4747891567,0.0074417846,0.1764705882,1.0000000000,0.9049725078
53.8494510484,0.0085370543,0.1764705882,1.0000000000,0.8595598996
44.5130465752,0.0115599837,0.1764705882,1.0000000000,0.9093975000
34.8882556641,0.0141144735,0.1764705882,1.0000000000,0.8896177806
27.8116026322,0.0190663366,0.1764705882,1.0000000000,0.9231624299
21.4646564113,0.0242328382,0.1764705882,1.0000000000,0.9143144792
16.9416247350,0.0292348712,0.1764705882,1.0000000000,0.8921946342
13.8646601296,0.0419969480,0.1764705882,1.0000000000,0.9673752335
11.6270669334,0.0501693345,0.1764705882,1.0000000000,0.9682460678
8.1676682779,0.0663500874,0.1764705882,1.0000000000,0.9332570529
6.2938844480,0.0771577308,0.1764705882,1.0000000000,0.8834471852
5.3612134009,0.1136898911,0.1764705882,1.0000000000,0.9897464619
4.0485616312,0.1411269148,0.1764705882,1.0000000000,0.9582675606
2.9366794884,0.1511570089,0.1764705882,1.0000000000,0.8446443963
2.5680266767,0.2082760140,0.1764705882,1.0000000000,0.9271518722
2.0758318085,0.2509994724,0.1764705882,1.0000000000,0.9150903404
1.5771699887,0.3404306427,0.1764705882,1.0000000000,0.9289344304
1.2189015041,0.3845552149,0.1764705882,1.0000000000,0.8679508734
1247.6465471833,0.0004116845,0.1764705882,1.0000000000,0.9085723895
935.4979943239,0.0005663811,0.1764705882,1.0000000000,0.9227993527
771.1041180240,0.0006907545,0.1764705882,1.0000000000,0.9252303568
626.7489258174,0.0009747434,0.1764705882,1.0000000000,0.9908854250
423.4424958370,0.0010016818,0.1764705882,1.0000000000,0.8256454639
390.2118937848,0.0014354381,0.1764705882,1.0000000000,0.9487984519
278.5998414140,0.0017472961,0.1764705882,1.0000000000,0.8845149500
206.0370160849,0.0021854654,0.1764705882,1.0000000000,0.8506993003
195.4285983531,0.0028758624,0.1764705882,1.0000000000,0.9504069282
158.6252005880,0.0039225171,0.1764705882,1.0000000000,1.0000000000
108.9142556152,0.0043732878,0.1764705882,1.0000000000,0.8749392108
85.2107248230,0.0053255363,0.1764705882,1.0000000000,0.8540047576
75.1130270496,0.0071618623,0.1764705882,1.0000000000,0.9298268864
57.8084923834,0.0099228423,0.1764705882,1.0000000000,0.9601638509
48.3350910937,0.0123309474,0.1764705882,1.0000000000,0.9787256676
37.3232868889,0.0157683028,0.1764705882,1.0000000000,0.9725543991
26.3075770784,0.0177416389,0.1764705882,1.0000000000,0.8661014759
22.1792373877,0.0250924033,0.1764705882,1.0000000000,0.9457490630
16.1594992483,0.0292824095,0.1764705882,1.0000000000,0.8720649664
12.7866560755,0.0340947770,0.1764705882,1.0000000000,0.8370548254
10.7428405490,0.0515221946,0.1764705882,1.0000000000,0.9431661967
7.7891095703,0.0577935951,0.1764705882,1.0000000000,0.8505801585
5.8884356089,0.0748719178,0.1764705882,1.0000000000,0.8417651267
5.3515196180,0.0996236307,0.1764705882,1.0000000000,0.9256594283
4.3645172400,0.1193068741,0.1764705882,1.0000000000,0.9148129960
3.2262981945,0.1569667043,0.1764705882,1.0000000000,0.9021681858
2.5157160813,0.2031630909,0.1764705882,1.0000000000,0.9063265537
1.8463381737,0.2514502629,0.1764705882,1.0000000000,0.8637999151
1.5332634298,0.3512312512,0.1764705882,1.0000000000,0.9303287657
1.2566361141,0.4477552524,0.1764705882,1.0000000000,0.9509476254
422.7509305041,0.0001501249,0.2513368984,0.9251336898,0.3193744262
300.1519365516,0.0001644572,0.2513368984,0.9251336898,0.2816621764
243.4232944925,0.0002120712,0.2513368984,0.9251336898,0.2880404070
208.3686984452,0.0002705791,0.2513368984,0.9251336898,0.3010196511
148.9074503904,0.0003277427,0.2513368984,0.9251336898,0.2800633007
126.3541510169,0.0004352508,0.2513368984,0.9251336898,0.2973007559
100.1301056805,0.0006041372,0.2513368984,0.9251336898,0.3118039522
78.4311384999,0.0007451561,0.2513368984,0.9251336898,0.3064780437
59.3749965614,0.0009889201,0.2513368984,0.9251336898,0.3071948207
52.5364356181,0.0011239337,0.2513368984,0.9251336898,0.3080577525
36.5840894553,0.0014823574,0.2513368984,0.9251336898,0.2952256383
28.7061796096,0.0018765331,0.2513368984,0.9251336898,0.2942370118
21.8099617577,0.0022886646,0.2513368984,0.9251336898,0.2832370210
18.5913825630,0.0027495405,0.2513368984,0.9251336898,0.2866271932
15.0330727489,0.0038238562,0.2513368984,0.9251336898,0.3039527944
11.0919648420,0.0046857339,0.2513368984,0.9251336898,0.2890177660
8.6258579326,0.0056735361,0.2513368984,0.9251336898,0.2804526500
6.3112420581,0.0070291229,0.2513368984,0.9251336898,0.2670173448
5.2776194360,0.0096439867,0.2513368984,0.9251336898,0.2860084215
3.8771463191,0.0104350618,0.2513368984,0.9251336898,0.2549970134
3.2245082985,0.0154742255,0.2513368984,0.9251336898,0.2831833376
2.6296204422,0.0190877754,0.2513368984,0.9251336898,0.2840244169
1.9492447808,0.0262282366,0.2513368984,0.9251336898,0.2866482019
1.5056401970,0.0294065742,0.2513368984,0.9251336898,0.2667560649
1.2767995337,0.0440972208,0.2513368984,0.9251336898,0.3008142826
0.9802356056,0.0526491723,0.2513368984,0.9251336898,0.2880000057
0.7885780113,0.0675906061,0.2513368984,0.9251336898,0.2926826560
0.6109116994,0.0827959441,0.2513368984,0.9251336898,0.2851183953
0.5437021024,0.1046896680,0.2513368984,0.9251336898,0.3024571830
0.4077187780,0.1229661632,0.2513368984,0.9251336898,0.2838602975
397.0506006884,0.0001328501,0.2513368984,0.9251336898,0.2911624575
313.7761115829,0.0001775573,0.2513368984,0.9251336898,0.2992337953
262.0908474766,0.0002242367,0.2513368984,0.9251336898,0.3073340862
214.1161883627,0.0002942836,0.2513368984,0.9251336898,0.3182286455
148.8288354327,0.0003461600,0.2513368984,0.9251336898,0.2877487498
120.0472253581,0.0003917575,0.2513368984,0.9251336898,0.2749262498
91.4354114283,0.0005763144,0.2513368984,0.9251336898,0.2910170443
81.4891455359,0.0007618044,0.2513368984,0.9251336898,0.3158661696
59.0525502319,0.0008372086,0.2513368984,0.9251336898,0.2818821975
48.0452752693,0.0011514645,0.2513368984,0.9251336898,0.2981824719
35.8031450238,0.0013659725,0.2513368984,0.9251336898,0.2803580654
31.0012718797,0.0017999506,0.2513368984,0.9251336898,0.2994687633
21.3667633580,0.0023086012,0.2513368984,0.9251336898,0.2815628258
16.4671778927,0.0027566146,0.2513368984,0.9251336898,0.2701028091
15.1070289529,0.0039199622,0.2513368984,0.9251336898,0.3085048221
12.2411881247,0.0053046181,0.2513368984,0.9251336898,0.3230504364
9.0923601714,0.0060028086,0.2513368984,0.9251336898,0.2961740808
7.0316249850,0.0077454758,0.2513368984,0.9251336898,0.2958580468
5.2067936338,0.0093404077,0.2513368984,0.9251336898,0.2795758047
5.0468415450,0.0138449543,0.2513368984,0.9251336898,0.3351097657
3.0118324162,0.0139505668,0.2513368984,0.9251336898,0.2598620218
2.7624242376,0.0199095933,0.2513368984,0.9251336898,0.2973088709
2.2422351978,0.0262555848,0.2513368984,0.9251336898,0.3075975812
1.5659206481,0.0323114203,0.2513368984,0.9251336898,0.2851637947
