filename,tau,delta_p,dP_L,v,mu,rho,d,phi,f,Re_p,f_ergun,steps,converged,stalled,one_minus_phi
ergun_inertial_phi0.150_d6_Re1.0e+03,,,60843.40284374514,27.88108434343947,0.1666567055,1.0,6,0.15,469.6187467150408,1003.7790292250604,472.730959878813,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re1.3e+03,,,100701.00470825264,35.93054283539268,0.1666567055,1.0,6,0.15,468.0125476744783,1293.576855282046,465.56424541307024,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re1.6e+03,,,151559.9770127563,44.01380815261761,0.1666567055,1.0,6,0.15,469.41600052220025,1584.591799792332,461.0053357710315,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re2.0e+03,,,277492.2304781299,59.020919377448784,0.1666567055,1.0,6,0.15,477.95844289628457,2124.880095296812,455.8527045556335,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re2.6e+03,,,352722.4080031554,70.51731949546337,0.1666567055,1.0,6,0.15,425.5912691881878,2538.77523681626,453.3890093410679,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re3.3e+03,,,605624.1173928973,89.69998728760176,0.1666567055,1.0,6,0.15,451.616342138288,3229.392553458406,450.6841312018115,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re4.2e+03,,,865902.6097947293,108.1605173934346,0.1666567055,1.0,6,0.15,444.1020591083732,3894.011359540571,448.9870215412415,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re5.3e+03,,,1443577.0423052104,141.7675080546688,0.1666567055,1.0,6,0.15,430.9608370141125,5103.935336871356,447.03218234250585,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re6.7e+03,,,2467484.713573564,183.7243369389099,0.1666567055,1.0,6,0.15,438.603753363865,6614.471456916321,445.59541602663,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re8.5e+03,,,4492166.464232583,239.92145738738228,0.1666567055,1.0,6,0.15,468.2404300984335,8637.688714687172,444.458299010294,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re1.1e+04,,,7105385.842871108,299.5571180758473,0.1666567055,1.0,6,0.15,475.0940913486645,10784.70081994441,443.7182096244142,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re1.4e+04,,,10516709.52295609,374.05534523969465,0.1666567055,1.0,6,0.15,450.9821977136734,13466.79729870316,443.1252060593213,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re1.7e+04,,,18343420.231904965,497.5331422365455,0.1666567055,1.0,6,0.15,444.6185053090185,17912.263682779165,442.5334293522859,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re2.2e+04,,,25415663.014219567,600.913830213111,0.1666567055,1.0,6,0.15,422.30701425606463,21634.19089835942,442.22501677685295,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re2.8e+04,,,44047594.30653808,769.1016977516539,0.1666567055,1.0,6,0.15,446.79253093843874,27689.31602641049,441.9004339263898,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re3.6e+04,,,67125481.80714373,959.9343480474528,0.1666567055,1.0,6,0.15,437.07463431102775,34559.70205942129,441.6698896974042,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re4.5e+04,,,118036928.1252547,1249.5954623257928,0.1666567055,1.0,6,0.15,453.5553248431739,44988.12544902225,441.4545093361338,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re5.7e+04,,,192519389.1380743,1603.5739399119618,0.1666567055,1.0,6,0.15,449.2082727620732,57732.11231198717,441.2969495788581,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re7.3e+04,,,287146991.57858294,1982.539654510666,0.1666567055,1.0,6,0.15,438.3406581666373,71375.6934734558,441.1906293449482,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re9.2e+04,,,546514894.4073961,2626.6552188396204,0.1666567055,1.0,6,0.15,475.2773445407678,94565.239758911,441.0803064330922,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re1.2e+05,,,779206282.7442869,3134.966488999386,0.1666567055,1.0,6,0.15,475.7051907378512,112865.5392386616,441.02524840647936,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re1.5e+05,,,1413979864.6049993,4301.505902550853,0.1666567055,1.0,6,0.15,458.5148745727969,154863.4682167356,440.9480918447866,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re1.9e+05,,,2019946228.2733915,5284.198939571642,0.1666567055,1.0,6,0.15,434.04298320791696,190242.53204999212,440.9095311303823,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re2.4e+05,,,3914544638.6227126,6949.894258595647,0.1666567055,1.0,6,0.15,486.2684653252725,250211.1476791066,440.8690767937463,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re3.0e+05,,,6230091353.462947,8910.526479596701,0.1666567055,1.0,6,0.15,470.8026893494337,320798.1264071022,440.84083830512105,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re3.9e+05,,,8108568326.138809,10827.661962954837,0.1666567055,1.0,6,0.15,414.9789366503775,389819.12898625614,440.8231151259964,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re4.9e+05,,,14024556683.894014,13591.540458019785,0.1666567055,1.0,6,0.15,455.51536213813705,489324.7019581741,440.806364059945,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re6.2e+05,,,20636837910.66654,16595.454159316083,0.1666567055,1.0,6,0.15,449.589458097808,597472.0588479202,440.7944856994139,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re7.9e+05,,,37396739241.35862,22172.97100256379,0.1666567055,1.0,6,0.15,456.391143828596,798274.6665742935,440.780966382936,0,True,False,0.85
ergun_inertial_phi0.150_d6_Re1.0e+06,,,51072106683.72061,26806.73153716755,0.1666567055,1.0,6,0.15,426.4295507989077,965100.0164707162,440.7740130550741,0,True,False,0.85
ergun_inertial_phi0.150_d10_Re1.0e+03,,,12077.715156841654,16.44888823714914,0.1666567055,1.0,10,0.15,446.3871491151882,986.9922837967742,473.275048899246,0,True,False,0.85
ergun_inertial_phi0.150_d10_Re1.3e+03,,,22507.40565270204,22.28091410308913,0.1666567055,1.0,10,0.15,453.3769427982522,1336.9347507645969,464.7591987041879,0,True,False,0.85
ergun_inertial_phi0.150_d10_Re1.6e+03,,,33389.728812394555,27.102255484957585,0.1666567055,1.0,10,0.15,454.57130989924775,1626.2325241367253,460.4864478487431,0,True,False,0.85
ergun_inertial_phi0.150_d10_Re2.0e+03,,,62082.96365946016,35.7107051516,0.1666567055,1.0,10,0.15,486.8280448235264,2142.7703760530653,455.726532718255,0,True,False,0.85
ergun_inertial_phi0.150_d10_Re2.6e+03,,,78683.05833575844,44.04207197166341,0.1666567055,1.0,10,0.15,405.6446454459901,2642.6822634906466,452.891694926469,0,True,False,0.85
ergun_inertial_phi0.150_d10_Re3.3e+03,,,140608.05893351694,54.92145681524824,0.1666567055,1.0,10,0.15,466.15045858284265,3295.4843701292434,450.484713858068,0,True,False,0.85
ergun_inertial_phi0.150_d10_Re4.2e+03,,,223482.2934257909,71.71217533650477,0.1666567055,1.0,10,0.15,434.56758255839134,4302.987696855965,448.2032559449031,0,True,False,0.85
ergun_inertial_phi0.150_d10_Re5.3e+03,,,363518.9369226479,93.2608582538264,0.1666567055,1.0,10,0.15,417.95374787071273,5595.985950521888,446.4789808641128,0,True,False,0.85
ergun_inertial_phi0.150_d10_Re6.7e+03,,,563432.4582916434,109.8474703655744,0.1666567055,1.0,10,0.15,466.940712774676,6591.242160704683,445.6125251977813,0,True,False,0.85
ergun_inertial_phi0.150_d10_Re8.5e+03,,,996196.3530852344,142.39554415644483,0.1666567055,1.0,10,0.15,491.3060910297135,8544.243313176788,444.49895664519545,0,True,False,0.85
