filename,tau,delta_p,dP_L,v,mu,rho,d,phi,f,Re_p,f_ergun,steps,converged,stalled
ergun_full_phi0.150_d6_Re1.0e-06,,,4.117339421544444e-06,2.7881084343439468e-08,0.1666567055,1.0,6,0.15,31779612720.08161,1.0037790292250603e-06,31990219578.81299,0,True,False
ergun_full_phi0.150_d6_Re1.8e-06,,,7.617073820591915e-06,5.097234942442794e-08,0.1666567055,1.0,6,0.15,17590173038.30007,1.8351142585532968e-06,17498154008.805626,0,True,False
ergun_full_phi0.150_d6_Re3.2e-06,,,1.3407823152602884e-05,8.857898351868501e-08,0.1666567055,1.0,6,0.15,10252933460.367428,3.1890340056680776e-06,10069228631.483751,0,True,False
ergun_full_phi0.150_d6_Re5.8e-06,,,2.626393847700261e-05,1.685072493950325e-07,0.1666567055,1.0,6,0.15,5549756439.147538,6.066623562111606e-06,5293078341.874633,0,True,False
ergun_full_phi0.150_d6_Re1.1e-05,,,3.985443860084922e-05,2.856138660411406e-07,0.1666567055,1.0,6,0.15,2931361439.5537043,1.0282713744433425e-05,3122825009.157279,0,True,False
ergun_full_phi0.150_d6_Re1.9e-05,,,7.677500698473998e-05,5.154027682864361e-07,0.1666567055,1.0,6,0.15,1734113907.5383968,1.855560867137516e-05,1730534409.1924129,0,True,False
ergun_full_phi0.150_d6_Re3.4e-05,,,0.0001296339660177,8.81645498681224e-07,0.1666567055,1.0,6,0.15,1000649699.66664,3.17411350249411e-05,1011656485.3616816,0,True,False
ergun_full_phi0.150_d6_Re6.1e-05,,,0.0002349350479055,1.6393542731450956e-06,0.1666567055,1.0,6,0.15,524509581.9744755,5.90202812983758e-05,544069537.0700866,0,True,False
ergun_full_phi0.150_d6_Re1.1e-04,,,0.0004410030309995,3.0139335523963083e-06,0.1666567055,1.0,6,0.15,291289934.71460533,0.0001085080930894,295933308.02129424,0,True,False
ergun_full_phi0.150_d6_Re2.0e-04,,,0.0008744231801998,5.583505503169851e-06,0.1666567055,1.0,6,0.15,168290273.104062,0.0002010182123696,159742738.37926635,0,True,False
ergun_full_phi0.150_d6_Re3.6e-04,,,0.0015741224000782,9.889819708905025e-06,0.1666567055,1.0,6,0.15,96563500.40554006,0.0003560547898472,90186311.0807831,0,True,False
ergun_full_phi0.150_d6_Re6.4e-04,,,0.0026504999343407,1.7519248343384634e-05,0.1666567055,1.0,6,0.15,51814118.04476623,0.0006307306372398,50911414.800338365,0,True,False
ergun_full_phi0.150_d6_Re1.2e-03,,,0.0049373812444846,3.3057689232075146e-05,0.1666567055,1.0,6,0.15,27108340.25083395,0.0011901479439268,26981213.404314924,0,True,False
ergun_full_phi0.150_d6_Re2.1e-03,,,0.0080409306693935,5.66413439553799e-05,0.1666567055,1.0,6,0.15,15038013.44978827,0.0020392102598732,15747277.515241168,0,True,False
ergun_full_phi0.150_d6_Re3.8e-03,,,0.0154580662587824,0.0001028432974877,0.1666567055,1.0,6,0.15,8769088.007791389,0.0037025800016591,8673072.013183767,0,True,False
