Re_p,phi,f,regime_true,cluster
1.0037790292250603e-06,0.15,31779612720.08161,viscous,0
1.6282976316730142e-06,0.15,19824371560.502674,viscous,0
2.5107328996027427e-06,0.15,13022871992.36849,viscous,0
4.237981848235622e-06,0.15,7944414001.369474,viscous,0
6.373683182545337e-06,0.15,4729188458.834797,viscous,0
1.020536666038948e-05,0.15,3153001400.4160647,viscous,0
1.548982609636418e-05,0.15,2050491073.786544,viscous,0
2.555618633995597e-05,0.15,1211318795.429253,viscous,0
4.168958614478918e-05,0.15,758157834.7817726,viscous,0
6.852854969111412e-05,0.15,493653353.1342965,viscous,0
0.0001077019702714,0.15,319230739.77158105,viscous,0
0.0001692861485093,0.15,193049136.014503,viscous,0
0.0002834321619825,0.15,113828062.69280183,viscous,0
0.0004309043397182,0.15,71164273.75912103,viscous,0
0.0006942149996983,0.15,46767801.49800268,viscous,0
0.0010906698540031,0.15,29135758.943457007,viscous,0
0.0017871572687626,0.15,18460672.89398937,viscous,0
0.0028868477278556,0.15,11323103.699868027,viscous,0
0.0044926059136292,0.15,7101813.509862307,viscous,0
0.0074924019165013,0.15,4618578.94634004,viscous,0
0.0112562169181616,0.15,3077544.9768693526,viscous,0
0.0194411355702684,0.15,1717969.848221955,viscous,0
0.030062273376518,0.15,1051952.009529892,viscous,0
0.0497694007702038,0.15,712124.5521955972,viscous,0
0.0803210051516531,0.15,427426.8855146637,viscous,0
0.1228575959588525,0.15,246460.16807726707,viscous,0
0.1941232533168802,0.15,171391.2142843001,viscous,0
0.2983592972121145,0.15,110222.58293971086,viscous,0
0.501782923134035,0.15,66716.71571039032,viscous,0
0.7636201991900827,0.15,41109.04758259757,viscous,0
1.2474084241865735,0.15,24695.480506774053,viscous,0
2.1268980931683066,0.15,15157.821619566765,viscous,0
3.256571869689902,0.15,10168.821333143092,viscous,0
5.401261609372571,0.15,6821.6628023207,viscous,0
8.385058246511495,0.15,3824.8128137643625,viscous,0
13.16200176461058,0.15,2980.5912977842304,viscous,0
21.632880312354157,0.15,1866.5392390211173,viscous,0
35.412975033852,0.15,1261.4109580603335,viscous,0
52.50426947405961,0.15,1102.6985558136996,viscous,0
85.67271188351654,0.15,901.4323654520476,inertial,0
137.41982960262214,0.15,653.3950981971249,inertial,1
215.80616067427465,0.15,558.2349192175111,inertial,1
335.5260143496483,0.15,553.6228837480695,inertial,1
566.6757460053775,0.15,530.6674422068189,inertial,1
869.602757930766,0.15,519.7609795841046,inertial,2
1408.633608587136,0.15,501.5011546239163,inertial,2
