filename,tau,delta_p,dP_L,v,mu,rho,d,phi,f,Re_p,f_ergun,steps,converged,stalled,one_minus_phi
ergun_viscous_phi0.150_d6_Re1.0e-06,,,4.117339421544444e-06,2.7881084343439468e-08,0.1666567055,1.0,6,0.15,31779612720.08161,1.0037790292250603e-06,31990219578.81299,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re1.3e-06,,,5.369295279642279e-06,3.5930542835392715e-08,0.1666567055,1.0,6,0.15,24954046588.931324,1.2935768552820471e-06,24823505113.07017,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re1.6e-06,,,6.662182377185681e-06,4.4013808152617614e-08,0.1666567055,1.0,6,0.15,20634306417.08773,1.584591799792332e-06,20264595471.031456,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re2.0e-06,,,9.199139604292317e-06,5.9020919377448847e-08,0.1666567055,1.0,6,0.15,15844791162.899303,2.124880095296814e-06,15111964255.633398,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re2.6e-06,,,9.839956023021102e-06,7.051731949546337e-08,0.1666567055,1.0,6,0.15,11872790833.736994,2.5387752368162603e-06,12648269041.067844,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re3.3e-06,,,1.3361813567173431e-05,8.969998728760185e-08,0.1666567055,1.0,6,0.15,9963958161.900265,3.229392553458409e-06,9943390901.811447,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re4.2e-06,,,1.590352528093379e-05,1.081605173934346e-07,0.1666567055,1.0,6,0.15,8156562001.838834,3.894011359540571e-06,8246281241.241461,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re5.3e-06,,,2.0316616239939065e-05,1.4176750805466893e-07,0.1666567055,1.0,6,0.15,6065257124.12061,5.10393533687136e-06,6291442042.505776,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re6.7e-06,,,2.688276789656224e-05,1.8372433693890988e-07,0.1666567055,1.0,6,0.15,4778502916.504608,6.614471456916321e-06,4854675726.629929,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re8.5e-06,,,3.757358700329079e-05,2.399214573873825e-07,0.1666567055,1.0,6,0.15,3916478313.714345,8.63768871468718e-06,3717558710.293875,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re1.1e-05,,,4.767906280696161e-05,2.995571180758474e-07,0.1666567055,1.0,6,0.15,3188009985.883637,1.0784700819944412e-05,2977469324.414106,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re1.4e-05,,,5.659062814598565e-05,3.7405534523969466e-07,0.1666567055,1.0,6,0.15,2426744391.4434743,1.3466797298703158e-05,2384465759.3212314,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re1.7e-05,,,7.430862043426953e-05,4.975331422365455e-07,0.1666567055,1.0,6,0.15,1801135629.6354666,1.7912263682779168e-05,1792689052.2858417,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re2.2e-05,,,8.530469630727017e-05,6.00913830213111e-07,0.1666567055,1.0,6,0.15,1417424034.1237,2.1634190898359417e-05,1484276476.8529208,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re2.8e-05,,,0.0001155955288869,7.691016977516538e-07,0.1666567055,1.0,6,0.15,1172532115.0831425,2.768931602641049e-05,1159693626.3897848,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re3.6e-05,,,0.0001412131603861,9.59934348047453e-07,0.1666567055,1.0,6,0.15,919482270.7270844,3.455970205942129e-05,929149397.4041948,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re4.5e-05,,,0.0001908488929988,1.2495954623257927e-06,0.1666567055,1.0,6,0.15,733334330.4918505,4.498812544902225e-05,713769036.1337059,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re5.7e-05,,,0.0002426508288826,1.6035739399119614e-06,0.1666567055,1.0,6,0.15,566180685.5645084,5.7732112311987166e-05,556209278.8580973,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re7.3e-05,,,0.0002928083173317,1.9825396545106657e-06,0.1666567055,1.0,6,0.15,446982884.37662953,7.13756934734558e-05,449889044.9481808,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re9.2e-05,,,0.0004207350604063,2.6266552188396203e-06,0.1666567055,1.0,6,0.15,365892758.4800082,9.4565239758911e-05,339566133.09214455,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re1.2e-04,,,0.0005026707764721,3.1349664889993896e-06,0.1666567055,1.0,6,0.15,306880351.0642584,0.0001128655392386,284508106.47926193,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re1.5e-04,,,0.000664910257342,4.301505902550852e-06,0.1666567055,1.0,6,0.15,215612153.24131605,0.0001548634682167,207351544.786601,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re1.9e-04,,,0.0007732842615665,5.284198939571637e-06,0.1666567055,1.0,6,0.15,166162149.79394853,0.0001902425320499,168790830.38227972,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re2.4e-04,,,0.0011395195534863,6.949894258595646e-06,0.1666567055,1.0,6,0.15,141552204.82475185,0.0002502111476791,128336493.74623396,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re3.0e-04,,,0.0014146142145111,8.91052647959671e-06,0.1666567055,1.0,6,0.15,106901189.53289098,0.0003207981264071,100098005.12102996,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re3.9e-04,,,0.0015152152462651,1.0827661962954834e-05,0.1666567055,1.0,6,0.15,77545429.27937296,0.0003898191289862,82374825.99632746,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re4.9e-04,,,0.0020878649134775,1.3591540458019767e-05,0.1666567055,1.0,6,0.15,67813519.07190241,0.0004893247019581,65623759.94496089,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re6.2e-04,,,0.0025162181745252,1.6595454159316084e-05,0.1666567055,1.0,6,0.15,54817756.98572285,0.0005974720588479,53745399.41383685,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re7.9e-04,,,0.0034128613733057,2.217297100256381e-05,0.1666567055,1.0,6,0.15,41650682.3185486,0.0007982746665742,40226082.93594196,0,True,False,0.85
ergun_viscous_phi0.150_d6_Re1.0e-03,,,0.0038552855805309,2.680673153716755e-05,0.1666567055,1.0,6,0.15,32189933.11727576,0.0009651000164707,33272755.07406606,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re1.0e-06,,,8.302574010617843e-07,1.6448888237149143e-08,0.1666567055,1.0,10,0.15,30685955868.2184,9.86992283796774e-07,32534308599.245987,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re1.3e-06,,,1.1631683417194424e-06,2.2280914103089156e-08,0.1666567055,1.0,10,0.15,23430230692.321625,1.336934750764598e-06,24018458404.18783,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re1.6e-06,,,1.4317551001586615e-06,2.7102255484957585e-08,0.1666567055,1.0,10,0.15,19492065808.346905,1.6262325241367251e-06,19745707548.74308,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re2.0e-06,,,2.0414927359209004e-06,3.5710705151600034e-08,0.1666567055,1.0,10,0.15,16008512779.791534,2.142770376053068e-06,14985792418.254925,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re2.6e-06,,,2.111043948078646e-06,4.404207197166341e-08,0.1666567055,1.0,10,0.15,10883329803.794558,2.6426822634906462e-06,12150954626.468857,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re3.3e-06,,,3.0413489429324027e-06,5.492145681524829e-08,0.1666567055,1.0,10,0.15,10082823240.798147,3.295484370129247e-06,9743973558.067871,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re4.2e-06,,,3.720945996996056e-06,7.171217533650479e-08,0.1666567055,1.0,10,0.15,7235483769.016525,4.3029876968559645e-06,7462515644.903079,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re5.3e-06,,,4.672020854454458e-06,9.326085825382649e-08,0.1666567055,1.0,10,0.15,5371628347.0120125,5.595985950521893e-06,5738240564.112811,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re6.7e-06,,,6.1598846217499775e-06,1.098474703655744e-07,0.1666567055,1.0,10,0.15,5104961337.532441,6.591242160704683e-06,4871784897.78124,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re8.5e-06,,,8.422790112817734e-06,1.42395544156445e-07,0.1666567055,1.0,10,0.15,4153968314.6562657,8.544243313176798e-06,3758216345.195365,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re1.1e-05,,,9.407847998586834e-06,1.8145199034496054e-07,0.1666567055,1.0,10,0.15,2857372227.701161,1.088777015005619e-05,2949283045.769411,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re1.4e-05,,,1.1471464994511595e-05,2.263782062779217e-07,0.1666567055,1.0,10,0.15,2238461634.539152,1.3583504221972137e-05,2363978880.05756,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re1.7e-05,,,1.5442686557957867e-05,2.796117511006729e-07,0.1666567055,1.0,10,0.15,1975204279.8450828,1.6777707819303605e-05,1913915705.9813032,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re2.2e-05,,,2.1419609017832743e-05,3.751649796640585e-07,0.1666567055,1.0,10,0.15,1521832854.413045,2.2511244209376173e-05,1426448077.861416,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re2.8e-05,,,2.6633228311668816e-05,4.5736931094893293e-07,0.1666567055,1.0,10,0.15,1273179892.316147,2.7443798890464264e-05,1170068449.1558793,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re3.6e-05,,,3.407758274608317e-05,5.885760735309856e-07,0.1666567055,1.0,10,0.15,983702044.8347118,3.531667518358483e-05,909234136.8400934,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re4.5e-05,,,3.83587181634052e-05,7.436293304275338e-07,0.1666567055,1.0,10,0.15,693667047.443475,4.46204266546919e-05,719650912.9249772,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re5.7e-05,,,5.427178223057762e-05,9.63158794026726e-07,0.1666567055,1.0,10,0.15,585030212.8881183,5.7792981754744095e-05,555623461.6705302,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re7.3e-05,,,6.335100221201804e-05,1.2189601977654542e-06,0.1666567055,1.0,10,0.15,426358023.0636581,7.31419833428457e-05,439024782.76047385,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re9.2e-05,,,7.377522350595087e-05,1.4786503966500785e-06,0.1666567055,1.0,10,0.15,337426762.983011,8.872432658583176e-05,361920472.67298526,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re1.2e-04,,,0.0001115084712152,1.983068341047e-06,0.1666567055,1.0,10,0.15,283551859.17511654,0.0001189912122106,269861639.01375514,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re1.5e-04,,,0.0001250965953026,2.466584615562662e-06,0.1666567055,1.0,10,0.15,205614365.0859492,0.0001480039226842,216961657.23245493,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re1.9e-04,,,0.0001620822520493,3.228937085178195e-06,0.1666567055,1.0,10,0.15,155459152.7004385,0.0001937478048357,165737085.5421333,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re2.4e-04,,,0.0002156787935254,3.906993520924096e-06,0.1666567055,1.0,10,0.15,141293461.02770692,0.0002344336226497,136973587.97177222,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re3.0e-04,,,0.0002583059585229,4.734397256999242e-06,0.1666567055,1.0,10,0.15,115240472.97657797,0.0002840808140779,113035568.49244387,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re3.9e-04,,,0.0003398638321621,6.316137658116904e-06,0.1666567055,1.0,10,0.15,85192581.13371927,0.0003789909106367,84728359.56380406,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re4.9e-04,,,0.0004399076928237,8.13751237686046e-06,0.1666567055,1.0,10,0.15,66432138.42837886,0.0004882799256379,65764174.66684386,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re6.2e-04,,,0.0005444833544622,1.0567457062479595e-05,0.1666567055,1.0,10,0.15,48757746.335767165,0.0006340853211261,50642065.83636724,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re7.9e-04,,,0.000760568281951,1.3705290836789368e-05,0.1666567055,1.0,10,0.15,40491297.91670323,0.0008223666005919,39047638.289858095,0,True,False,0.85
ergun_viscous_phi0.150_d10_Re1.0e-03,,,0.000969604416135,1.709289581624136e-05,0.1666567055,1.0,10,0.15,33186640.727184884,0.0010256350481044,31308956.54317893,0,True,False,0.85
ergun_viscous_phi0.214_d6_Re1.0e-06,,,1.306455750239782e-06,2.844021652751417e-08,0.1666567055,1.0,6,0.2136363636363636,9691258056.819452,1.0239089909591728e-06,9290759591.168304,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re1.3e-06,,,1.4486236998120432e-06,3.5326833746708815e-08,0.1666567055,1.0,6,0.2136363636363636,6964619708.857337,1.271842029064068e-06,7479617826.617929,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re1.6e-06,,,1.8876944093666576e-06,4.45459898168469e-08,0.1666567055,1.0,6,0.2136363636363636,5707760124.692502,1.6037514848214818e-06,5931649915.904896,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re2.0e-06,,,2.4261900100785578e-06,5.438507134372778e-08,0.1666567055,1.0,6,0.2136363636363636,4921717196.528082,1.957979590940412e-06,4858524804.897891,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re2.6e-06,,,2.9616113774289064e-06,7.08038883719398e-08,0.1666567055,1.0,6,0.2136363636363636,3544582612.546041,2.5490923329912983e-06,3731874428.546728,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re3.3e-06,,,3.953532562931644e-06,8.857758448489256e-08,0.1666567055,1.0,6,0.2136363636363636,3023353330.008246,3.188983637441191e-06,2983048414.584877,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re4.2e-06,,,5.515488263742003e-06,1.172287879074897e-07,0.1666567055,1.0,6,0.2136363636363636,2408056463.780732,4.22048861061242e-06,2253979007.42292,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re5.3e-06,,,6.82471220456179e-06,1.4710525293893052e-07,0.1666567055,1.0,6,0.2136363636363636,1892253121.16249,5.296105638147174e-06,1796205274.4332356,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re6.7e-06,,,9.085232874851134e-06,1.947724939423475e-07,0.1666567055,1.0,6,0.2136363636363636,1436918260.1703155,7.012228881808089e-06,1356614748.854062,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re8.5e-06,,,1.03371856206711e-05,2.207439815829508e-07,0.1666567055,1.0,6,0.2136363636363636,1272845881.8084671,7.947258320774287e-06,1197003151.4516325,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re1.1e-05,,,1.3665142531315042e-05,3.037939729062856e-07,0.1666567055,1.0,6,0.2136363636363636,888397053.179292,1.0937236710452757e-05,869771216.3683265,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re1.4e-05,,,1.732142655082013e-05,3.858684202332774e-07,0.1666567055,1.0,6,0.2136363636363636,698001623.7480963,1.3892093417145247e-05,684770380.4419508,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re1.7e-05,,,2.114714393137011e-05,4.888914558207093e-07,0.1666567055,1.0,6,0.2136363636363636,530857645.9954629,1.7601144377141522e-05,540470233.8687913,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re2.2e-05,,,2.5420903497510196e-05,5.803941637740553e-07,0.1666567055,1.0,6,0.2136363636363636,452789303.7873023,2.089543875355397e-05,455261801.1524446,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re2.8e-05,,,3.538051952892991e-05,7.611595748112581e-07,0.1666567055,1.0,6,0.2136363636363636,366407223.1401228,2.7403382511167836e-05,347143130.8685322,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re3.6e-05,,,4.337895890167069e-05,9.809195470096842e-07,0.1666567055,1.0,6,0.2136363636363636,270497712.8017656,3.531521437676629e-05,269371070.9629099,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re4.5e-05,,,5.254358515704785e-05,1.2239807299048804e-06,0.1666567055,1.0,6,0.2136363636363636,210436849.77081585,4.406593996560961e-05,215878711.77638653,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re5.7e-05,,,6.512094442970434e-05,1.5927292993596708e-06,0.1666567055,1.0,6,0.2136363636363636,154023859.68837777,5.7341681917251296e-05,165898521.08622044,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re7.3e-05,,,8.936924552361974e-05,2.040131136347656e-06,0.1666567055,1.0,6,0.2136363636363636,128831829.39761367,7.34491107415173e-05,129516918.63873824,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re9.2e-05,,,9.671563990127232e-05,2.475940685179201e-06,0.1666567055,1.0,6,0.2136363636363636,94660215.17960452,8.913919224855434e-05,106719664.76762512,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re1.2e-04,,,0.0001434475734332,3.3061422116207904e-06,0.1666567055,1.0,6,0.2136363636363636,78741085.11113617,0.0001190282335787,79921449.27974282,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re1.5e-04,,,0.0001769643224866,4.066117675685711e-06,0.1666567055,1.0,6,0.2136363636363636,64221002.6489494,0.0001463889855551,64983801.60444917,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re1.9e-04,,,0.0002431940297549,5.536052184682451e-06,0.1666567055,1.0,6,0.2136363636363636,47610616.9209414,0.0001993097907968,47729317.38757563,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re2.4e-04,,,0.0002726801152546,6.669763501510079e-06,0.1666567055,1.0,6,0.2136363636363636,36777639.34087263,0.0002401258376553,39616419.94410439,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re3.0e-04,,,0.0004089319000803,8.869376087777897e-06,0.1666567055,1.0,6,0.2136363636363636,31190052.050381366,0.0003193166237566,29791550.119403277,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re3.9e-04,,,0.0004882586951604,1.1060617055410409e-05,0.1666567055,1.0,6,0.2136363636363636,23946526.33951937,0.0003982060135735,23889514.498585515,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re4.9e-04,,,0.0006268458733745,1.3972356496945878e-05,0.1666567055,1.0,6,0.2136363636363636,19265163.79445948,0.0005030348987768,18911139.47141122,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re6.2e-04,,,0.0007678851001436,1.7569691229023134e-05,0.1666567055,1.0,6,0.2136363636363636,14925168.148219742,0.0006325466896628,15039176.655124854,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re7.9e-04,,,0.0009709552944525,2.0942099758238752e-05,0.1666567055,1.0,6,0.2136363636363636,13283424.036989238,0.0007539606532629,12617367.36935996,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d6_Re1.0e-03,,,0.0011404862623251,2.620965312097361e-05,0.1666567055,1.0,6,0.2136363636363636,9961362.90700506,0.0009436039087298,10081587.434755256,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d10_Re1.0e-06,,,2.492573959773525e-07,1.6563728479151333e-08,0.1666567055,1.0,10,0.2136363636363636,9085144687.335527,9.938831101609249e-07,9571439716.345917,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d10_Re1.3e-06,,,3.3809956880898805e-07,2.1540676974749032e-08,0.1666567055,1.0,10,0.2136363636363636,7286616632.002906,1.2925178684003824e-06,7359969675.25157,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d10_Re1.6e-06,,,4.309739831831731e-07,2.6486675997378738e-08,0.1666567055,1.0,10,0.2136363636363636,6143220950.815685,1.5892955472696978e-06,5985603102.189491,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d10_Re2.0e-06,,,5.704992070522656e-07,3.357054180581044e-08,0.1666567055,1.0,10,0.2136363636363636,5062188863.529706,2.0143529001784118e-06,4722555028.556084,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d10_Re2.6e-06,,,6.761301733895199e-07,4.367118191597538e-08,0.1666567055,1.0,10,0.2136363636363636,3545197430.1418915,2.6204275300507115e-06,3630282613.989546,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d10_Re3.3e-06,,,7.681933618429284e-07,5.172883113033063e-08,0.1666567055,1.0,10,0.2136363636363636,2870815085.4140973,3.1039153795303257e-06,3064804096.9594264,0,True,False,0.7863636363636364
ergun_viscous_phi0.214_d10_Re4.2e-06,,,1.136865598964105e-06,7.189067906872836e-08,0.1666567055,1.0,10,0.2136363636363636,2199702524.876685,4.313698560945594e-06,2205275266.2573266,0,True,False,0.7863636363636364
